epoch,train_loss,train_acc,val_loss,val_acc,val_macro_precision,val_macro_recall,val_macro_f1,negative_precision,negative_recall,negative_f1,positive_precision,positive_recall,positive_f1
1,0.1557,95.30,0.1309,94.92,0.9312,0.9565,0.9421,0.8741,0.9752,0.9219,0.9884,0.9377,0.9624
2,0.0452,98.66,0.1000,95.94,0.9447,0.9638,0.9533,0.9008,0.9752,0.9365,0.9886,0.9524,0.9701
3,0.0311,98.92,0.0986,97.46,0.9723,0.9679,0.9700,0.9664,0.9504,0.9583,0.9782,0.9853,0.9818
4,0.0196,99.30,0.1667,95.69,0.9437,0.9574,0.9501,0.9062,0.9587,0.9317,0.9812,0.9560,0.9685
5,0.0185,99.24,0.1206,96.45,0.9698,0.9468,0.9572,0.9820,0.9008,0.9397,0.9576,0.9927,0.9748
6,0.0122,99.49,0.1605,95.94,0.9473,0.9592,0.9529,0.9134,0.9587,0.9355,0.9813,0.9597,0.9704
7,0.0143,99.49,0.1340,96.70,0.9622,0.9601,0.9611,0.9500,0.9421,0.9461,0.9745,0.9780,0.9762
8,0.0122,99.55,0.1093,97.21,0.9704,0.9637,0.9670,0.9661,0.9421,0.9540,0.9746,0.9853,0.9800
9,0.0104,99.49,0.1533,95.94,0.9435,0.9661,0.9535,0.8947,0.9835,0.9370,0.9923,0.9487,0.9700
10,0.0038,99.87,0.2097,95.94,0.9447,0.9638,0.9533,0.9008,0.9752,0.9365,0.9886,0.9524,0.9701
